subj_code,is_neuroptimal,rt,trial,feedback,response,subj_idx,split_by,Time,q_init
neurOptimRevLearn_low_s001,1,0.749461400089786,1,1,0,1,0,t0,0.5
neurOptimRevLearn_low_s001,1,4.77233100030571,1,0,0,1,1,t2,0.5
neurOptimRevLearn_low_s001,1,0.568735599983484,2,1,0,1,0,t0,0.5
neurOptimRevLearn_low_s001,1,3.81889479979873,2,0,0,1,1,t2,0.5
neurOptimRevLearn_low_s001,1,0.703596499981359,3,1,0,1,0,t0,0.5
neurOptimRevLearn_low_s001,1,3.87406220007688,3,0,1,1,1,t2,0.5
neurOptimRevLearn_low_s001,1,0.63882019999437,4,1,0,1,0,t0,0.5
neurOptimRevLearn_low_s001,1,3.1506486996077,4,0,0,1,1,t2,0.5
neurOptimRevLearn_low_s001,1,0.613686600001529,5,1,0,1,0,t0,0.5
neurOptimRevLearn_low_s001,1,2.06915330002084,5,1,0,1,1,t2,0.5
neurOptimRevLearn_low_s001,1,0.539824599865824,6,1,0,1,0,t0,0.5
neurOptimRevLearn_low_s001,1,1.66119010001421,6,1,0,1,1,t2,0.5
neurOptimRevLearn_low_s001,1,0.569759499980137,7,1,0,1,0,t0,0.5
neurOptimRevLearn_low_s001,1,4.34480480011553,7,0,1,1,1,t2,0.5
neurOptimRevLearn_low_s001,1,0.56675780005753,8,1,0,1,0,t0,0.5
neurOptimRevLearn_low_s001,1,1.67737529985607,8,1,0,1,1,t2,0.5
neurOptimRevLearn_low_s001,1,0.525300800101832,9,1,0,1,0,t0,0.5
neurOptimRevLearn_low_s001,1,1.69987690029666,9,0,0,1,1,t2,0.5
neurOptimRevLearn_low_s001,1,0.776395800057799,10,1,0,1,0,t0,0.5
neurOptimRevLearn_low_s001,1,1.46322900010273,10,0,0,1,1,t2,0.5
neurOptimRevLearn_low_s001,1,0.617402700008825,11,1,0,1,0,t0,0.5
neurOptimRevLearn_low_s001,1,2.42331900028512,11,0,1,1,1,t2,0.5
neurOptimRevLearn_low_s001,1,0.687659899936989,12,1,0,1,0,t0,0.5
neurOptimRevLearn_low_s001,1,1.19454650022089,12,0,0,1,1,t2,0.5
neurOptimRevLearn_low_s001,1,0.70308390003629,13,1,0,1,0,t0,0.5
